game_date,batter,pa,strikeouts,walks,xwoba_num,xwoba_denom,bbe,barrels
2023-03-31,665862,4,1,0,2.363714285714286,4.0,3,1
2023-03-31,665926,5,0,1,2.048903,5.0,4,0
2023-03-31,666971,4,1,0,1.6079999999999999,4.0,3,1
2023-03-31,667452,4,2,0,0.84,4.0,2,0
2023-03-31,668942,3,0,0,0.477,3.0,3,0
2023-03-31,669257,5,0,2,3.4608060000000003,5.0,3,0
2023-03-31,669450,4,2,0,0.954005,4.0,1,0
2023-03-31,670541,4,1,1,1.5364030000000002,4.0,2,1
2023-03-31,672284,4,3,0,0.48,4.0,1,0
2023-03-31,672515,4,1,0,1.572,4.0,3,0
2023-03-31,672695,2,1,1,0.695903,2.0,0,0
2023-03-31,673357,5,4,0,0.906,5.0,1,0
2023-03-31,673490,3,0,0,1.593,3.0,3,0
2023-03-31,676694,4,2,1,0.913903,4.0,1,0
2023-03-31,677594,5,2,0,1.5125,5.0,3,1
2023-03-31,677950,2,0,0,0.595,2.0,2,0
2023-03-31,678246,4,0,3,3.5584025483870967,4.0,1,1
2023-03-31,678662,4,1,0,1.273,4.0,3,0
2023-03-31,680757,6,1,1,2.253903,6.0,4,0
2023-03-31,681546,4,2,1,0.896903,4.0,1,0
2023-03-31,682073,4,1,1,1.7159030000000002,4.0,2,0
2023-03-31,682998,4,0,0,1.017,4.0,4,0
2023-03-31,693049,4,1,0,0.805005,4.0,2,0
2023-04-01,408234,4,0,1,1.760903,4.0,3,0
2023-04-01,446334,3,2,0,0.244,3.0,1,0
2023-04-01,453568,4,0,0,2.283285487804878,4.0,3,1
2023-04-01,457705,4,1,1,0.697903,4.0,2,0
2023-04-01,457759,5,0,0,1.6410049999999998,5.0,4,0
2023-04-01,462101,4,1,0,0.8779999999999999,4.0,3,0
2023-04-01,467793,4,1,0,1.5550000000000002,4.0,3,0
2023-04-01,474832,4,2,1,0.770903,4.0,1,0
2023-04-01,500743,4,1,1,1.011903,4.0,2,0
2023-04-01,500871,5,1,0,0.227,5.0,4,0
2023-04-01,502054,1,0,0,0.899,1.0,1,0
2023-04-01,502110,5,1,1,2.779834818181818,4.0,2,1
2023-04-01,502671,4,1,0,2.555,4.0,3,0
2023-04-01,516416,4,2,0,0.448,4.0,2,0
2023-04-01,516782,1,0,0,0.8554761904761905,1.0,1,1
2023-04-01,518595,4,1,0,0.734,4.0,3,0
